team,season,pressure_rate_forced,hurry_rate_forced,hit_rate_forced
JAX,2025,0.21357820164958058,0.08110564619604325,0.08786445004571353
KC,2018,0.252853657128866,0.1168004202981056,0.06545957621102622
KC,2019,0.22081827739393212,0.07959728603734763,0.07446197726074455
KC,2020,0.22556977602201003,0.07250457086421751,0.10204347010519502
KC,2021,0.23245662055966831,0.10747994283941653,0.07998507374096114
KC,2022,0.23894773962011362,0.07048958318793352,0.09199487975374375
KC,2023,0.24055146976375727,0.07289438477689614,0.08990307455817191
KC,2024,0.23955011906400459,0.058860886398583986,0.11087748368105355
KC,2025,0.2211166185270325,0.05388556249818439,0.10219675646207384
LA,2018,0.27357962375109285,0.13182852336192558,0.07938061621793369
LA,2019,0.26654596731667823,0.13248438612189925,0.05520182755079136
LA,2020,0.23138710753948247,0.0671308274960227,0.08141398228241051
LA,2021,0.22326017823797403,0.09436770420367975,0.05754128305102424
LA,2022,0.18300338613921638,0.05770377040425742,0.06264980786747948
LA,2023,0.18614172601964774,0.054410658374973955,0.06872925268417762
LA,2024,0.1865338829401022,0.060731961887475136,0.04771797005444475
LA,2025,0.2686017866877507,0.10262615434767834,0.10009217522798258
LAC,2018,0.20857914930004534,0.08774709039519149,0.056100598777253576
LAC,2019,0.21641262048846582,0.10150326447689105,0.05936983393931363
LAC,2020,0.22188735535385296,0.08174797302510373,0.09676290684604114
LAC,2021,0.23020727012438863,0.08854125774014947,0.08532157564050767
LAC,2022,0.19212092985377538,0.06024130851347194,0.06512573893348318
LAC,2023,0.18755874361118635,0.05851832800669014,0.05701785805780065
LAC,2024,0.20556731380962773,0.05831696845663198,0.07581205899362158
LAC,2025,0.21953846798580448,0.0790984186125325,0.059727377319667395
LV,2020,0.2270709809088612,0.10234185055047265,0.09114821064651471
LV,2021,0.23875614309307727,0.08759101107556681,0.10030583526395555
LV,2022,0.19664188830767065,0.052437836882045515,0.09995962655639926
LV,2023,0.18646818830649803,0.05438655492272859,0.06526386590727432
LV,2024,0.18208274529122026,0.06708311668623905,0.05590259723853254
LV,2025,0.19218536941329653,0.05491010554665615,0.07550139512665222
MIA,2018,0.24108311967708734,0.12231422983616931,0.06381611991452311
MIA,2019,0.16891972033249286,0.06334489512468483,0.06510447554481495
MIA,2020,0.23711038429556763,0.07574359498330632,0.0938561937836622
MIA,2021,0.27637802193698713,0.09212600731232905,0.11292865412479045
MIA,2022,0.2111857358553824,0.06950416623088534,0.0788604963004276
MIA,2023,0.2577254505627761,0.06636044535448728,0.10494209963035196
MIA,2024,0.20803687563791906,0.08321475025516763,0.0665718002041341
MIA,2025,0.208515081570799,0.08032958060514388,0.06152904046351446
MIN,2018,0.23756743084524734,0.11706221230055666,0.0344300624413402
MIN,2019,0.21379246936554097,0.07595258780091588,0.0632938231674299
MIN,2020,0.17467536721781246,0.061051584658652895,0.07631448082331613
MIN,2021,0.24727234020553196,0.11303878409395747,0.062171331251676606
MIN,2022,0.17788195480400848,0.05377826540586303,0.0675675642278792
MIN,2023,0.20489819173774276,0.08166232279402791,0.06087554971918444
MIN,2024,0.24119321444222083,0.0745259932265289,0.09756130022381966
MIN,2025,0.25948897932177595,0.07441228083492103,0.09349235284387515
NE,2018,0.24411913814552913,0.10751361006409314,0.08727575405202856
NE,2019,0.23870734901459606,0.09032169962714445,0.07096704970704207
NE,2020,0.24210947742581163,0.121964924718266,0.0764556244502563
NE,2021,0.22982281973092733,0.1021434754359677,0.0702236393622278
NE,2022,0.23318285173484918,0.09951115328812035,0.053468679378691535
NE,2023,0.20597863051993792,0.09172485890340985,0.056322281782795525
NE,2024,0.18484701444816282,0.06978917892430637,0.06224440282438136
NE,2025,0.21491831494681146,0.057046219399462306,0.09419259482236798
NO,2018,0.2643731703460818,0.11903713429195306,0.07612839983787696
NO,2019,0.2560800254025331,0.11537671474180063,0.06613055601054425
NO,2020,0.2536043144983174,0.07724729119776334,0.10785470846480165
NO,2021,0.23158584267044388,0.06872870169574463,0.09562254148973166
NO,2022,0.16989917844856417,0.04288717125886086,0.047835691019498645
NO,2023,0.18042802433407573,0.06546503537785049,0.06067491083800777
NO,2024,0.20854289722754382,0.08551759094942445,0.06451327036535529
NO,2025,0.23630456347958725,0.0969906790401291,0.05995787431571617
