team,season,pressured_pct_allowed,hurry_rate_allowed,hit_rate_allowed
DET,2018,0.21088179091143489,0.09106259152993779,0.05431803705294535
DET,2019,0.2325269518879267,0.09363501418305772,0.07178684420701092
DET,2020,0.22065645797106753,0.07511709207525703,0.07981191032996059
DET,2021,0.23322257874184216,0.08667055291081972,0.09139803761504625
DET,2022,0.1908250598669479,0.06895359306116604,0.08498931237771629
DET,2023,0.19844483652383255,0.0604533939079225,0.08936588664649413
DET,2024,0.21778956466284496,0.06628378054956151,0.09784748557316222
DET,2025,0.24155116229567097,0.06119296111490331,0.11916524006586435
GB,2018,0.26030826457070116,0.13015413228535058,0.057541826905102365
GB,2019,0.21504006447582735,0.08771371050987695,0.06932212604812855
GB,2020,0.1454719045451038,0.057582628882436926,0.05000596718737944
GB,2021,0.2319375093781651,0.10488893736210014,0.07091083089268742
GB,2022,0.19452060529249496,0.06664131847983623,0.07024355191117873
GB,2023,0.19183090094100402,0.07307843845371582,0.07307843845371582
GB,2024,0.22046153314267367,0.07602121832505988,0.09882758382257785
GB,2025,0.2166611107188193,0.05989006312552728,0.10392687424723852
HOU,2018,0.30931177351430833,0.12753613410305603,0.08649002197793455
HOU,2019,0.24190750004445766,0.09208978694874241,0.06734924717146833
HOU,2020,0.26568919324071205,0.11452120398306555,0.0763474693220437
HOU,2021,0.22651679477772302,0.07985124420221891,0.07496239251636877
HOU,2022,0.2290733223279636,0.060449904503212616,0.10817351332153836
HOU,2023,0.21439234548308114,0.07626036450069329,0.07338261489689354
HOU,2024,0.28550968304925467,0.10655385300402806,0.0901609525418699
HOU,2025,0.20467370616932304,0.07744410503704115,0.07606117458995112
IND,2018,0.1699425464838074,0.07113874038857054,0.07113874038857054
IND,2019,0.26949804851333764,0.10883575036115557,0.10538064717508715
IND,2020,0.1617364208725224,0.06792929676645941,0.06145983993155851
IND,2021,0.25729014432913183,0.0707979591778148,0.13123524140277865
IND,2022,0.24175245414451174,0.06553530383435559,0.08883674519768203
IND,2023,0.18762424983592213,0.06678151265346381,0.055651260544553174
IND,2024,0.23230279784887234,0.09043849381902665,0.08511858241790743
IND,2025,0.19494117023268132,0.05209634721735449,0.0941095304571565
JAX,2018,0.2410995580501741,0.08866241812167694,0.06999664588553442
JAX,2019,0.20171485199782374,0.09128701331288373,0.050060620203839466
JAX,2020,0.20940063416675908,0.08434192209494464,0.06252935603590723
JAX,2021,0.22733925216696005,0.10170440228521896,0.07777395468869686
JAX,2022,0.17905905007793413,0.07053841366706495,0.0651123818465215
