team,season,stuff_rate_forced,aly_allowed,ybc_allowed_per_att,rush_pct_over_expected_allowed,pct_stacked_box_forced
CHI,2018,0.22189349112426035,2.477810650887574,1.9241934639667315,0.3335932930395789,13.004484304932735
CHI,2019,0.15064935064935064,2.792987012987013,2.35727751829294,0.3356487621573828,15.517241379310345
CHI,2020,0.1864801864801865,2.84032634032634,2.510864398284914,0.36826576686716544,18.53146853146853
CHI,2021,0.16778523489932887,3.0333333333333337,2.945536433356004,0.38697397563676633,23.25581395348837
CHI,2022,0.1673469387755102,3.124081632653061,3.1975047479283822,0.39085385878489326,17.24137931034483
CHI,2023,0.22349570200573066,2.6166189111747853,2.319419989733405,0.4163956791507812,15.816326530612244
CHI,2024,0.1504424778761062,3.1823008849557524,2.832265447817937,0.4048973926836522,17.557251908396946
CHI,2025,0.16142557651991615,3.1763102725366874,3.230029622091194,0.37644080057873164,29.46708463949843
CIN,2018,0.14849187935034802,3.1243619489559165,3.029294651576816,0.41665425651190774,19.21708185053381
CIN,2019,0.21123595505617979,3.053258426966292,2.5229318403949597,0.4294847206239611,39.66244725738397
CIN,2020,0.15165876777251186,3.1400473933649287,2.8293126863244726,0.44506087224533825,20.06472491909385
CIN,2021,0.19037199124726478,2.8157549234135666,2.5351829639817467,0.39862739490992277,21.189591078066915
CIN,2022,0.1915367483296214,2.9298440979955456,2.8294293604223713,0.337447655225433,18.88888888888889
CIN,2023,0.14676616915422885,3.0432835820895523,3.161271767031549,0.41570593149540513,17.894736842105264
CIN,2024,0.1721698113207547,2.872877358490566,2.9400482947335895,0.4194880051758236,18.503937007874015
CIN,2025,0.11529411764705882,3.3830588235294115,3.088135144301142,0.49591951085246927,18.75
CLE,2018,0.23095238095238096,2.761904761904762,2.2126553903396933,0.3934142585758162,28.52112676056338
CLE,2019,0.18225419664268586,3.083453237410072,2.860414281945193,0.4509698832178847,18.385650224215247
CLE,2020,0.13942307692307693,3.1254807692307693,2.718344169685707,0.38670977011494256,21.120689655172413
CLE,2021,0.15594059405940594,2.9495049504950495,2.5351039045694086,0.37563025210084033,25.210084033613445
CLE,2022,0.16447368421052633,3.142324561403509,2.9614075441800254,0.45717258068163824,34.2560553633218
CLE,2023,0.27848101265822783,2.2767088607594936,3.112286021697485,0.43252766453115904,28.712871287128714
CLE,2024,0.25462962962962965,2.5465277777777775,2.6405125271596237,0.3957307060755336,43.67816091954023
CLE,2025,0.2116279069767442,2.6332558139534883,2.3054606773391213,0.43337368845843427,41.69491525423729
DAL,2018,0.2361111111111111,2.5375,2.2975628310614793,0.3363514419852448,23.943661971830984
DAL,2019,0.2087912087912088,2.61510989010989,2.5083768285068895,0.4197113350752768,22.97872340425532
DAL,2020,0.13822894168466524,3.3000000000000003,3.136569358380132,0.4028053350970018,20.13888888888889
DAL,2021,0.1572769953051643,3.062676056338028,2.932335206761356,0.4054497596704051,29.182879377431906
DAL,2022,0.1749502982107356,2.9582504970178927,2.8568789248209736,0.4024309514015396,29.705882352941178
