CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,RB,Nate Carter (44105047),Nate Carter,44105047,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0.71
,,,,,,,RB,Adam Prentice (44105048),Adam Prentice,44105048,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,0.84
,,,,,,,RB,Jaydn Ott (44105049),Jaydn Ott,44105049,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,RB,Ben VanSumeren (44105050),Ben VanSumeren,44105050,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Jimmy Holiday (44105051),Jimmy Holiday,44105051,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Jeff Caldwell (44105052),Jeff Caldwell,44105052,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Michael Bandy (44105053),Michael Bandy,44105053,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,3.5
,,,,,,,WR,Kolbe Katsis (44105054),Kolbe Katsis,44105054,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,WR,Andrew Armstrong (44105055),Andrew Armstrong,44105055,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Dane Key (44105056),Dane Key,44105056,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,WR,Omari Evans (44105057),Omari Evans,44105057,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,John Michael Gyllenborg (44105058),John Michael Gyllenborg,44105058,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,Jake Briningstool (44105059),Jake Briningstool,44105059,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
