QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RB,Emari Demercado (44132750),Emari Demercado,44132750,RB/FLEX,4500,WAS@DAL 09/20/2026 04:25PM ET,DAL,4.56
,,,,,,,,,,QB,Deshaun Watson (44132595),Deshaun Watson,44132595,QB,4500,CLE@TB 09/20/2026 01:00PM ET,CLE,0
,,,,,,,,,,QB,Shedeur Sanders (44132596),Shedeur Sanders,44132596,QB,4500,CLE@TB 09/20/2026 01:00PM ET,CLE,12.36
,,,,,,,,,,WR,Jayden Reed (44133046),Jayden Reed,44133046,WR/FLEX,4500,GB@NYJ 09/20/2026 01:00PM ET,GB,8.02
,,,,,,,,,,TE,Kyle Pitts Sr. (44133454),Kyle Pitts Sr.,44133454,TE/FLEX,4500,CAR@ATL 09/20/2026 01:00PM ET,ATL,12.58
,,,,,,,,,,RB,Kendre Miller (44132752),Kendre Miller,44132752,RB/FLEX,4500,NO@BAL 09/20/2026 01:00PM ET,NO,4.76
,,,,,,,,,,QB,Fernando Mendoza (44132597),Fernando Mendoza,44132597,QB,4500,LV@LAC 09/20/2026 04:05PM ET,LV,0
,,,,,,,,,,WR,Tre Tucker (44133044),Tre Tucker,44133044,WR/FLEX,4500,LV@LAC 09/20/2026 04:05PM ET,LV,9.69
,,,,,,,,,,RB,George Holani (44132746),George Holani,44132746,RB/FLEX,4500,SEA@ARI 09/20/2026 04:25PM ET,SEA,1.86
,,,,,,,,,,RB,Kaelon Black (44132742),Kaelon Black,44132742,RB/FLEX,4500,MIA@SF 09/20/2026 04:25PM ET,SF,0
,,,,,,,,,,RB,Samaje Perine (44132758),Samaje Perine,44132758,RB/FLEX,4400,CIN@HOU 09/20/2026 01:00PM ET,CIN,5.33
,,,,,,,,,,WR,Antonio Williams (44133050),Antonio Williams,44133050,WR/FLEX,4400,WAS@DAL 09/20/2026 04:25PM ET,WAS,0
,,,,,,,,,,RB,Sean Tucker (44132754),Sean Tucker,44132754,RB/FLEX,4400,CLE@TB 09/20/2026 01:00PM ET,TB,5.55
,,,,,,,,,,RB,Dylan Sampson (44132756),Dylan Sampson,44132756,RB/FLEX,4400,CLE@TB 09/20/2026 01:00PM ET,CLE,5.91
,,,,,,,,,,WR,Jalen McMillan (44133048),Jalen McMillan,44133048,WR/FLEX,4400,CLE@TB 09/20/2026 01:00PM ET,TB,8.22
,,,,,,,,,,WR,Rashod Bateman (44133052),Rashod Bateman,44133052,WR/FLEX,4400,NO@BAL 09/20/2026 01:00PM ET,BAL,4.26
,,,,,,,,,,TE,Mark Andrews (44133456),Mark Andrews,44133456,TE/FLEX,4400,NO@BAL 09/20/2026 01:00PM ET,BAL,7.71
,,,,,,,,,,QB,Jalen Milroe (44132598),Jalen Milroe,44132598,QB,4400,SEA@ARI 09/20/2026 04:25PM ET,SEA,-0.2
,,,,,,,,,,WR,Mack Hollins (44133058),Mack Hollins,44133058,WR/FLEX,4300,PIT@NE 09/20/2026 01:00PM ET,NE,8.31
,,,,,,,,,,RB,Kaleb Johnson (44132764),Kaleb Johnson,44132764,RB/FLEX,4300,GB@NYJ 09/20/2026 01:00PM ET,GB,0.88
,,,,,,,,,,RB,Nick Singleton (44132762),Nick Singleton,44132762,RB/FLEX,4300,PHI@TEN 09/20/2026 01:00PM ET,TEN,0
,,,,,,,,,,WR,Dontayvion Wicks (44133056),Dontayvion Wicks,44133056,WR/FLEX,4300,PHI@TEN 09/20/2026 01:00PM ET,PHI,5.41
,,,,,,,,,,RB,Mike Washington Jr. (44132760),Mike Washington Jr.,44132760,RB/FLEX,4300,LV@LAC 09/20/2026 04:05PM ET,LV,0
,,,,,,,,,,RB,Kimani Vidal (44132766),Kimani Vidal,44132766,RB/FLEX,4300,LV@LAC 09/20/2026 04:05PM ET,LAC,9.57
,,,,,,,,,,WR,Rashid Shaheed (44133054),Rashid Shaheed,44133054,WR/FLEX,4300,SEA@ARI 09/20/2026 04:25PM ET,SEA,8.55
,,,,,,,,,,QB,J.J. McCarthy (44132599),J.J. McCarthy,44132599,QB,4300,MIN@CHI 09/20/2026 01:00PM ET,MIN,13.94
,,,,,,,,,,WR,Denzel Boston (44133062),Denzel Boston,44133062,WR/FLEX,4200,CLE@TB 09/20/2026 01:00PM ET,CLE,0
,,,,,,,,,,RB,Corey Kiner (44132778),Corey Kiner,44132778,RB/FLEX,4200,PIT@NE 09/20/2026 01:00PM ET,NE,2.32
,,,,,,,,,,RB,Braelon Allen (44132770),Braelon Allen,44132770,RB/FLEX,4200,GB@NYJ 09/20/2026 01:00PM ET,NYJ,4.08
,,,,,,,,,,QB,Cooper Rush (44132600),Cooper Rush,44132600,QB,4200,CAR@ATL 09/20/2026 01:00PM ET,ATL,1.68
,,,,,,,,,,RB,Will Shipley (44132774),Will Shipley,44132774,RB/FLEX,4200,PHI@TEN 09/20/2026 01:00PM ET,PHI,1.26
,,,,,,,,,,RB,Justice Hill (44132776),Justice Hill,44132776,RB/FLEX,4200,NO@BAL 09/20/2026 01:00PM ET,BAL,6.52
,,,,,,,,,,WR,Devaughn Vele (44133064),Devaughn Vele,44133064,WR/FLEX,4200,NO@BAL 09/20/2026 01:00PM ET,NO,5.1
,,,,,,,,,,QB,Jarrett Stidham (44132601),Jarrett Stidham,44132601,QB,4200,JAX@DEN 09/20/2026 04:05PM ET,DEN,4.76
,,,,,,,,,,RB,Jonah Coleman (44132772),Jonah Coleman,44132772,RB/FLEX,4200,JAX@DEN 09/20/2026 04:05PM ET,DEN,0
,,,,,,,,,,WR,Pat Bryant (44133060),Pat Bryant,44133060,WR/FLEX,4200,JAX@DEN 09/20/2026 04:05PM ET,DEN,4.84
,,,,,,,,,,RB,Jaylen Wright (44132768),Jaylen Wright,44132768,RB/FLEX,4200,MIA@SF 09/20/2026 04:25PM ET,MIA,5.22
,,,,,,,,,,QB,Joe Flacco (44132602),Joe Flacco,44132602,QB,4100,CIN@HOU 09/20/2026 01:00PM ET,CIN,12.74
,,,,,,,,,,WR,KC Concepcion (44133066),KC Concepcion,44133066,WR/FLEX,4100,CLE@TB 09/20/2026 01:00PM ET,CLE,0
,,,,,,,,,,TE,Harold Fannin Jr. (44133458),Harold Fannin Jr.,44133458,TE/FLEX,4100,CLE@TB 09/20/2026 01:00PM ET,CLE,11.9
,,,,,,,,,,WR,Calvin Ridley (44133068),Calvin Ridley,44133068,WR/FLEX,4100,PHI@TEN 09/20/2026 01:00PM ET,TEN,7.19
,,,,,,,,,,RB,Ameer Abdullah (44132780),Ameer Abdullah,44132780,RB/FLEX,4100,JAX@DEN 09/20/2026 04:05PM ET,JAX,2.84
,,,,,,,,,,WR,Cooper Kupp (44133070),Cooper Kupp,44133070,WR/FLEX,4100,SEA@ARI 09/20/2026 04:25PM ET,SEA,8.16
,,,,,,,,,,QB,Davis Mills (44132603),Davis Mills,44132603,QB,4000,CIN@HOU 09/20/2026 01:00PM ET,HOU,11.6
,,,,,,,,,,QB,Josh Johnson (44132652),Josh Johnson,44132652,QB,4000,CIN@HOU 09/20/2026 01:00PM ET,CIN,5.48
,,,,,,,,,,QB,Sean Clifford (44132653),Sean Clifford,44132653,QB,4000,CIN@HOU 09/20/2026 01:00PM ET,CIN,0
,,,,,,,,,,QB,Graham Mertz (44132654),Graham Mertz,44132654,QB,4000,CIN@HOU 09/20/2026 01:00PM ET,HOU,0
