player_name,team,pos,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds
Christian Watson,GB,WR,0.215,0,0.5477,3.625,3.8892,,,,18.7204,,0.3484,-0.5594,0.1392,,2.2255
Isaiah Neyor,GB,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
JMichael Sturdivant,GB,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Jayden Reed,GB,WR,0.17,0.02,0.7413,8.1667,6.138,,,,8.6875,,0.183,-0.2635,0.2037,,4.5905
Matthew Golden,GB,WR,0.185,0.02,0.5968,5.1,3.4015,,,,12.9414,,0.2607,-2.8892,0.053,,2.8765
Savion Williams,GB,WR,0.05,0,1,2.625,5.7222,,,,3.6667,,0.1667,-2.0257,0.2222,,2.8
Skyy Moore,GB,WR,0.02,0,0.5556,5.5,5.8,,,,13.7222,,0.2222,-0.0507,0.4,,3.099
Drake Dabney,GB,TE,0,0,0.5,4.2,0,,,,5,,0,-4.7696,0,,3
Jonnu Smith,GB,TE,0,0,0.7236,5.182,6.356,,,,5.022,,0.059,0.641,0.2124,,3.702
Josh Whyle,GB,TE,0,0,0.7504,4,5.2157,,,,5.2282,,0.0667,0.0209,0.2451,,4.2349
Luke Musgrave,GB,TE,0.04,0,0.7833,4,2.4444,,,,7.6583,,0.1458,-2.588,0,,5.1572
Mark Redman,GB,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
McCallan Castles,GB,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Thomas Yassmin,GB,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Tucker Kraft,GB,TE,0.195,0,0.7259,2.25,7.6458,,,,5.7053,,0.0807,3.0681,0.3108,,4.4083
CJ Stroud,HOU,QB,0,0.015,,,,-0.2576,0.0661,0.04,,8.0804,,,,2.9181,
Davis Mills,HOU,QB,0,0.015,,,,-14.6118,0.0293,0,,6.9559,,,,2.5791,
Graham Mertz,HOU,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
British Brooks,HOU,RB,0.01,0.07,0.75,3.5865,6.5,,,,1,,0.04,0,0.15,,3.2
David Montgomery,HOU,RB,0.05,0.6,0.8806,4.3263,9.9298,,,,0.23,,0,2.5124,0.403,,3.2
Jawhar Jordan,HOU,RB,0,0,1,3.8417,7.9,,,,-1.95,,0,-0.8365,0.25,,3.2
Noah Whittington,HOU,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Woody Marks,HOU,RB,0.1,0.295,0.6933,3.6166,9.0256,,,,1.3856,,0.0133,1.5418,0.2115,,3.2
Daniel Sobkowicz,HOU,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Jared Wayne,HOU,WR,0.025,0,1,4.2,1.5,,,,8.5,,0,-3.4198,0,,2.8
Jayden Higgins,HOU,WR,0,0,0.6848,4,3.9615,,,,11.3971,,0.2167,-1.0173,0.1062,,2.5761
Jaylin Noel,HOU,WR,0.1,0,0.7555,2,5.4653,,,,4.8397,,0.1081,-1.7512,0.0833,,2.4128
Josh Kelly,HOU,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Kayshon Boutte,HOU,WR,0.11,0.01,0.6127,4,2.874,,,,15.957,,0.2958,-0.9133,0.1111,,2.396
Lewis Bond,HOU,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Mitchell Tinsley,HOU,WR,0,0,0.3333,4,2,,,,14.75,,0.2917,0,0.15,,1.609
Nico Collins,HOU,WR,0.32,0.01,0.6636,7.5,5.5172,,,,12.2871,,0.1912,0.8288,0.2606,,2.5889
Tank Dell,HOU,WR,0,0,0.6279,3.8056,3.056,,,,12.7691,,0.1986,-2.3284,0.0385,,2.6852
Xavier Hutchinson,HOU,WR,0.085,0,0.5657,7.3333,3.3884,,,,9.3872,,0.0971,-1.1387,0.1261,,2.6498
Brevin Jordan,HOU,TE,0.025,0,0.75,4,1.5,,,,1,,0,-4.3619,0,,5.027
Cade Stover,HOU,TE,0,0,0.6886,0.75,6.0833,,,,4.4123,,0.0175,0.3507,0.2889,,3
Dalton Schultz,HOU,TE,0.145,0,0.707,4,4.1384,,,,7.4588,,0.0758,-0.431,0.1466,,3.5259
Foster Moreau,HOU,TE,0.03,0,0.6902,4,5.4213,,,,6.3689,,0.0924,1.0441,0.2083,,4.5192
Marlin Klein,HOU,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Zaire Mitchell-Paden,HOU,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Anthony Richardson,IND,QB,0,0.15,,,,-8.6749,0.0387,0.075,,12.6186,,,,2.9606,
Daniel Jones,IND,QB,0,0.01,,,,2.2458,0.0555,0.035,,7.7568,,,,2.7055,
Riley Leonard,IND,QB,0,0,,,,0,0.0118,0,,13.8852,,,,2.8322,
Anderson Castle,IND,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
DJ Giddens,IND,RB,0.01,0.115,0,3.6417,4,,,,-3,,0,0,0.15,,3.2
Davon Booth,IND,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Jonathan Taylor,IND,RB,0.105,0.745,0.7636,4.7872,9.5414,,,,-0.4525,,0.0093,1.9268,0.2821,,3.2
Seth McGowan,IND,RB,0.01,0.115,0.75,4.836,6.5,,,,1,,0.04,0,0.15,,3.2
Alec Pierce,IND,WR,0.195,0,0.5741,4,3.422,,,,21.1724,,0.4003,-1.0126,0.0827,,2.3455
Anthony Gould,IND,WR,0,0,1,4.2,4.3333,,,,5.3333,,0,-2.2923,0,,2.8
Ashton Dulin,IND,WR,0.05,0,0.4455,11.5,15.5833,,,,16.1727,,0.2636,10.1234,0.5,,2.0072
Coleman Owen,IND,WR,0,0,0,4.2,4.2,,,,2,,0,0,0.15,,2.8
DJ Montgomery,IND,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Deion Burks,IND,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Josh Downs,IND,WR,0.19,0,0.6638,-1,4.187,,,,7.0196,,0.0887,-1.0036,0.1174,,2.9251
Keenan Allen,IND,WR,0.125,0,0.6087,4,3.091,,,,8.761,,0.1304,-1.2818,0.0822,,2.777
Laquon Treadwell,IND,WR,0.015,0,0.625,4,3.325,,,,10.953,,0.0938,-1.2973,0.125,,2.829
Nick Westbrook-Ikhine,IND,WR,0,0,0.5423,4,3.4267,,,,8.7326,,0.067,-0.0292,0.0742,,2.5432
Andrew Ogletree,IND,TE,0.035,0,0.6333,4,4.8182,,,,8.9,,0.1,0.4039,0.2273,,3
Carson Towt,IND,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Mo Alie-Cox,IND,TE,0.035,0,0.4891,4,6.3214,,,,8.2029,,0.087,1.8465,0.3214,,3.845
Pharaoh Brown,IND,TE,0,0,0.6988,4,5.862,,,,5.181,,0.0241,0.0901,0.2241,,3.849
