team,season,stuff_rate_forced,aly_allowed,ybc_allowed_per_att,rush_pct_over_expected_allowed,pct_stacked_box_forced
NO,2023,0.1802469135802469,2.8935802469135803,2.9483119701965754,0.3577309808385505,18.725099601593627
NO,2024,0.1358313817330211,3.2156908665105384,3.0254977695576444,0.4314504923276853,25.185185185185187
NYG,2018,0.2084367245657568,2.778908188585608,2.5854351433006597,0.4076118963486454,20.49469964664311
NYG,2019,0.2127659574468085,2.573995271867612,2.195769277697085,0.349259475786807,16.720257234726688
NYG,2020,0.1932989690721649,2.8221649484536084,2.4588480596325675,0.3411443798767742,10.7981220657277
NYG,2021,0.1369565217391304,3.293043478260869,2.772476832526423,0.3558926319582057,18.688524590163933
NYG,2022,0.1334702258726899,3.376386036960985,3.672365185458198,0.4356302521008403,29.705882352941178
NYG,2023,0.1603563474387528,3.084187082405345,2.974626885814036,0.4502393146759343,23.591549295774648
NYG,2024,0.2065934065934065,2.7593406593406598,2.8860781755588176,0.4493077337388714,15.868263473053892
NYJ,2018,0.2225,2.82,2.862776790079524,0.3965293461134453,13.671875
NYJ,2019,0.3172043010752688,2.0427419354838707,2.0117778502982646,0.3460608327100474,20.94240837696335
NYJ,2020,0.2111650485436893,2.541019417475729,2.645089379664172,0.3449778963718188,21.32701421800948
NYJ,2021,0.2079002079002079,2.8625779625779626,2.681685611003007,0.3465903290382457,15.27777777777778
NYJ,2022,0.1928251121076233,2.840582959641256,3.031888422078925,0.2874321684393314,16.236162361623617
NYJ,2023,0.2114164904862579,2.720507399577167,2.6825244776349635,0.3606833452086604,16.76829268292683
NYJ,2024,0.1838074398249453,2.875711159737418,2.1453861229126256,0.3685169400179579,20.401337792642146
PHI,2018,0.2748538011695906,2.384502923976608,2.7637029291260355,0.3808602150537634,27.096774193548388
PHI,2019,0.2703488372093023,2.32093023255814,2.413706245076777,0.3735425240054869,42.79835390946502
PHI,2020,0.2403628117913832,2.4857142857142858,2.4200302167617225,0.3778883672595048,30.35019455252918
PHI,2021,0.1617977528089887,2.8604494382022474,2.298616300240634,0.3398554141128398,14.851485148514852
PHI,2022,0.1630901287553648,3.049785407725322,3.0865064319474413,0.4438755233837201,21.72131147540984
PHI,2023,0.1746835443037974,2.904050632911392,2.7467414341887237,0.3534178999295279,11.627906976744184
PHI,2024,0.1910112359550561,2.8611235955056182,2.4970516954615456,0.3502834008097166,8.097165991902834
PIT,2018,0.1906158357771261,2.7821114369501467,2.536021188734936,0.3326590285236901,11.73469387755102
PIT,2019,0.2157772621809744,2.7048723897911837,1.9265343002001305,0.310071371927042,2.061855670103093
PIT,2020,0.2092457420924574,2.7124087591240875,2.5965462663215204,0.3182052870714581,20.44609665427509
PIT,2021,0.1743697478991596,2.999579831932773,3.0974290987162965,0.420477002328182,36.99059561128527
PIT,2022,0.1964285714285714,2.8637755102040816,2.929993554452329,0.3570784666067684,36.22641509433962
PIT,2023,0.1820224719101123,2.864494382022472,2.6583618612538675,0.3753238367314992,44.55445544554456
PIT,2024,0.1889400921658986,2.884562211981567,2.542553901814669,0.3484673087042181,26.421404682274247
SEA,2018,0.192,2.9957333333333334,3.0977114893935327,0.3906181923803069,34.801762114537446
SEA,2019,0.1925925925925926,2.938024691358025,2.592108967794455,0.3408435269655133,38.86255924170616
SEA,2020,0.2046035805626598,2.6457800511508958,2.421049381716986,0.4216963814217818,25.46583850931677
SEA,2021,0.1897654584221748,2.696588486140725,2.123647496425655,0.3912541254125412,37.62376237623762
SEA,2022,0.1673228346456693,3.0429133858267714,3.241806203275268,0.4339453139453139,25.925925925925927
SEA,2023,0.2025316455696202,2.820886075949367,2.9018767410108524,0.4696844311327555,21.51394422310757
SEA,2024,0.1439024390243902,3.106829268292683,2.834263708591959,0.4399111111111111,16.8
SF,2018,0.1679197994987468,2.9343358395989974,2.43973110620718,0.3134935580309172,19.587628865979383
SF,2019,0.2014388489208633,2.9424460431654675,2.838762957576292,0.368313843832516,15.352697095435683
SF,2020,0.2096774193548387,2.692204301075269,2.5355684737639046,0.357478698285597,25.130890052356023
SF,2021,0.2099567099567099,2.5450216450216447,2.2503312676586686,0.3089090909090908,13.6
SF,2022,0.2091954022988505,2.6158620689655177,2.2992106166490407,0.3771712158808932,30.87557603686636
SF,2023,0.2118226600985221,2.7864532019704438,3.068607123584439,0.3825503355704698,9.395973154362416
SF,2024,0.1722595078299776,3.0170022371364653,2.705591248796217,0.4247577519379845,22.868217054263567
TB,2018,0.2242268041237113,2.7948453608247426,2.564982496175144,0.4359637999343881,8.108108108108109
TB,2019,0.2914110429447852,2.1598159509202453,1.8489142963685825,0.2746417013407304,18.932038834951456
TB,2020,0.2025316455696202,2.570379746835443,2.260880880397054,0.3170051562664422,18.6046511627907
TB,2021,0.2695417789757412,2.517250673854448,2.7207538353379457,0.3809523809523809,38.888888888888886
TB,2022,0.2084257206208425,2.828159645232816,2.889533680012652,0.4082458206169546,35.39518900343643
TB,2023,0.205607476635514,2.708177570093458,2.639788950050428,0.3809427022841657,45.29616724738676
TB,2024,0.2324324324324324,2.5462162162162163,2.458863777420769,0.3695740412158322,38.308457711442784
TEN,2018,0.1645244215938303,2.987660668380463,2.4064604560838654,0.4017400498798975,27.835051546391757
TEN,2019,0.1898148148148148,2.697453703703704,2.444503004703698,0.3580621687726671,21.254355400696863
TEN,2020,0.1733021077283372,2.948946135831382,2.578868353960103,0.386876565764859,21.908127208480565
TEN,2021,0.1891117478510028,2.7885386819484244,2.431919505163104,0.3425797503467406,22.81553398058253
TEN,2022,0.2485714285714285,2.2114285714285717,1.9673705356475364,0.3744588744588745,13.80952380952381
TEN,2023,0.1904761904761904,2.749206349206349,2.499665539027811,0.3908810562356362,10.679611650485436
TEN,2024,0.2234513274336283,2.67566371681416,2.517254069834674,0.3757255431371644,18.38006230529595
WAS,2018,0.1603260869565217,3.1407608695652174,3.1656453095066714,0.4022053124779821,37.34939759036145
WAS,2019,0.1575492341356674,3.0932166301969364,2.844879243563846,0.3179298834722472,29.66360856269113
WAS,2020,0.2058111380145278,2.8000000000000003,2.3652304051077446,0.367641747923438,27.230046948356808
WAS,2021,0.1808785529715762,2.8198966408268733,2.5721146060706994,0.3624107142857143,22.916666666666668
WAS,2022,0.188295165394402,2.7628498727735367,2.8182902497022986,0.3505716505716505,22.31404958677686
WAS,2023,0.174496644295302,2.918568232662192,3.016569946238531,0.4262424817980373,23.33333333333333
WAS,2024,0.188212927756654,3.0739543726235743,3.103244146443228,0.43218837535014,19.393939393939394
