team,player_name,jersey,pos,nfl_status,height,weight,experience,college
ATL,Trey Sermon,,RB,RES,72,215,5,Ohio State
ATL,Tua Tagovailoa,1,QB,ACT,73,225,7,Alabama
ATL,Tyler Goodson,25,RB,TRD,69,197,4,Iowa
ATL,Vinny Anthony II,86,WR,DEV,72,190,R,Wisconsin
ATL,Xavier Watts,31,SAF,ACT,72,203,2,Notre Dame
ATL,Yasir Abdullah,22,LB,ACT,73,234,4,Louisville
ATL,Za'Darius Smith,53,DE,ACT,76,270,11,Kentucky
ATL,Zacch Pickens,,DT,DEV,76,303,3,South Carolina
ATL,Zach Harrison,96,DE,DEV,77,270,4,Ohio State
ATL,Zachariah Branch,17,WR,ACT,70,180,R,Georgia
BAL,A.J. Arcuri,,OT,DEV,79,312,2,Michigan State
BAL,Adam Randall,23,RB,RES,75,232,R,Clemson
BAL,Adisa Isaac,50,LB,DEV,76,254,3,Penn State
BAL,Aeneas Peebles,90,DT,ACT,72,300,2,Virginia Tech
BAL,Amani Oruwariye,,CB,DEV,74,205,6,Penn State
BAL,Andrew Vorhees,72,G,ACT,78,330,3,USC
BAL,Bilhal Kone,31,CB,RES,73,190,2,Western Michigan
BAL,Broderick Washington,96,DT,ACT,74,314,7,Texas Tech
BAL,Calais Campbell,93,DE,ACT,80,307,19,Miami
BAL,Carl Jones,48,LB,ACT,72,223,2,UCLA
BAL,Carson Vinson,76,OT,ACT,79,325,2,Alabama A&M
BAL,Chandler Rivers,29,CB,ACT,70,189,R,Duke
BAL,Chidobe Awuzie,3,CB,ACT,72,202,10,Colorado
BAL,Chris Moore,17,WR,ACT,73,200,10,Cincinnati
BAL,Chuma Edoga,,OT,DEV,76,315,8,USC
BAL,Danny Pinter,63,G,RES,76,301,6,Ball State
BAL,David Olajiga,65,DT,DEV,75,310,1,Central Missouri
BAL,Derrick Henry,22,RB,ACT,75,252,11,Alabama
BAL,Devontez Walker,81,WR,ACT,73,198,3,North Carolina
BAL,Dominic DeLuca,42,LB,CUT,73,228,R,Penn State
BAL,Durham Smythe,80,TE,ACT,76,248,9,Notre Dame
BAL,Elijah Sarratt,13,WR,ACT,74,215,R,Indiana
BAL,Emery Jones Jr.,51,OT,ACT,77,325,2,LSU
BAL,Ethan Burke,97,LB,ACT,78,267,R,Texas
BAL,Ethan Pocic,77,C,ACT,78,320,10,LSU
BAL,Gage Larvadain,,WR,DEV,68,171,2,South Carolina
BAL,Gerad Lichtenhan,78,OT,DEV,80,330,1,Oregon State
BAL,Ja'Kobi Lane,6,WR,RES,76,205,R,USC
BAL,Jahquez Robinson,41,SAF,RES,74,201,R,Auburn
BAL,Jake Moody,,K,CUT,73,210,4,Michigan
BAL,Jamon Johnson,,LB,DEV,73,236,1,Kentucky
BAL,Jay Higgins,49,LB,ACT,72,230,2,Iowa
BAL,Jaylinn Hawkins,21,SAF,ACT,73,208,7,California
BAL,Joe Fagnano,12,QB,ACT,75,230,R,Connecticut
BAL,John Jenkins,94,DT,ACT,75,360,14,Georgia
BAL,John Simpson,74,G,ACT,76,330,7,Clemson
BAL,Jonathan Ward,35,RB,DEV,72,202,6,Central Michigan
BAL,Josh Cuevas,85,TE,ACT,75,245,R,Alabama
BAL,Jovaughn Gwyn,54,G,ACT,74,310,4,South Carolina
BAL,Justice Hill,43,RB,ACT,70,195,8,Oklahoma State
BAL,K'Von Wallace,25,SAF,DEV,71,205,6,Clemson
BAL,Kaimon Rucker,56,LB,DEV,74,265,1,North Carolina
BAL,Keondre Jackson,39,SAF,ACT,74,215,2,Illinois State
BAL,Keyon Martin,38,CB,ACT,69,170,2,Louisiana-Lafayette
BAL,Kyle Hamilton,14,SAF,ACT,76,218,5,Notre Dame
BAL,LaJohntay Wester,10,WR,ACT,69,180,2,Colorado
BAL,Ladarius Webb Jr.,,DB,DEV,69,168,R,Wake Forest
BAL,Lamar Jackson,8,QB,ACT,74,205,9,Louisville
BAL,Malaki Starks,24,SAF,ACT,73,205,2,Georgia
BAL,Mark Andrews,89,TE,ACT,77,250,9,Oklahoma
BAL,Marlon Humphrey,44,CB,ACT,72,200,10,Alabama
BAL,Matthew Hibner,88,TE,ACT,76,251,R,SMU
BAL,Mike Green,15,LB,ACT,75,250,2,Marshall
BAL,Nate Wiggins,2,CB,ACT,73,182,3,Clemson
BAL,Nick Moore,46,LS,ACT,74,260,5,Georgia
BAL,Nick Vannett,,TE,DEV,78,257,11,Ohio State
BAL,Nnamdi Madubuike,92,DT,ACT,75,305,7,Texas A&M
BAL,Olaivavega Ioane,71,G,ACT,76,326,R,Penn State
BAL,Rasheen Ali,26,RB,ACT,71,210,3,Marshall
BAL,Rashod Bateman,7,WR,ACT,73,193,6,Minnesota
BAL,Rayshaun Benny,99,DT,DEV,75,305,R,Michigan
BAL,Roger Rosengarten,70,OT,ACT,77,310,3,Washington
BAL,Ronnie Stanley,79,OT,ACT,78,310,11,Notre Dame
BAL,Roquan Smith,,ILB,ACT,73,235,9,Georgia
BAL,Ryan Eckley,30,P,ACT,72,205,R,Michigan State
BAL,Skylar Thompson,11,QB,RES,74,210,5,Kansas State
BAL,T.J. Tampa,27,CB,RES,73,190,3,Iowa State
BAL,Tavius Robinson,95,LB,ACT,78,262,4,Mississippi
BAL,Teddye Buchanan,40,LB,ACT,74,240,2,California
BAL,Travis Jones,98,DT,ACT,76,338,5,Connecticut
BAL,Trenton Simpson,32,LB,ACT,74,242,4,Clemson
BAL,Trey Hendrickson,91,LB,ACT,76,265,10,Florida Atlantic
BAL,Ty Pezza,84,TE,DEV,75,234,R,Brown
BAL,Tyler Huntley,5,QB,ACT,73,204,7,Utah
BAL,Tyler Loop,33,K,ACT,71,191,2,Arizona
BAL,Xavier Guillory,16,WR,DEV,74,203,1,Arizona State
BAL,Zay Flowers,4,WR,ACT,69,183,4,Boston College
BAL,Zion Young,9,LB,ACT,77,267,R,Missouri
BUF,Alec Anderson,70,OT,ACT,77,305,4,UCLA
BUF,Andre Jones Jr.,59,LB,DEV,77,258,2,Louisiana-Lafayette
BUF,Anthony Kendall,30,CB,DEV,70,188,3,Baldwin Wallace College
BUF,Ar'maj Reed-Adams,60,G,ACT,77,314,R,Texas A&M
BUF,Austin Corbett,63,G,ACT,76,306,9,Nevada
BUF,Bradley Chubb,9,OLB,ACT,76,268,9,N.C. State
