game_id,team,plays,rushing_yards,passing_yards,total_yards,points
2015_08_MIN_CHI,CHI,59,97,208,305,20
2015_08_MIN_CHI,MIN,56,147,180,327,23
2015_08_NYG_NO,NO,76,103,505,608,52
2015_08_NYG_NO,NYG,65,87,329,416,49
2015_08_NYJ_OAK,NYJ,71,74,292,366,20
2015_08_SD_BAL,BAL,64,73,293,366,29
2015_08_SEA_DAL,DAL,56,130,91,221,12
2015_08_SEA_DAL,SEA,60,114,210,324,13
2015_08_SF_STL,SF,64,39,151,190,6
2015_08_TB_ATL,ATL,73,101,395,496,20
2015_08_TB_ATL,TB,62,118,173,291,23
2015_08_TEN_HOU,HOU,60,57,214,271,20
2015_08_TEN_HOU,TEN,58,86,125,211,6
2015_09_ATL_SF,ATL,61,17,285,302,16
2015_09_ATL_SF,SF,61,137,185,322,17
2015_09_CHI_SD,CHI,67,111,337,448,22
2015_09_CLE_CIN,CIN,63,155,219,374,31
2015_09_CLE_CIN,CLE,53,69,144,213,10
2015_09_DEN_IND,DEN,51,35,274,309,24
2015_09_DEN_IND,IND,76,121,245,366,27
2015_09_GB_CAR,CAR,66,130,297,427,37
2015_09_GB_CAR,GB,72,71,331,402,29
2015_09_JAX_NYJ,JAX,65,98,338,436,23
2015_09_JAX_NYJ,NYJ,61,30,261,291,28
2015_09_MIA_BUF,BUF,48,270,154,424,33
2015_09_MIA_BUF,MIA,62,108,289,397,17
2015_09_NYG_TB,NYG,72,115,213,328,32
2015_09_NYG_TB,TB,59,136,247,383,18
2015_09_OAK_PIT,PIT,81,195,402,597,38
2015_09_PHI_DAL,DAL,71,134,277,411,27
2015_09_PHI_DAL,PHI,71,173,287,460,33
2015_09_STL_MIN,MIN,62,146,148,294,21
2015_09_TEN_NO,NO,68,63,355,418,28
2015_09_TEN_NO,TEN,67,112,371,483,34
2015_09_WAS_NE,NE,74,163,299,462,27
2015_09_WAS_NE,WAS,56,37,213,250,10
2015_10_ARI_SEA,ARI,80,119,334,453,39
2015_10_ARI_SEA,SEA,51,115,228,343,32
2015_10_BUF_NYJ,BUF,63,149,132,281,22
2015_10_BUF_NYJ,NYJ,59,128,190,318,17
2015_10_CAR_TEN,CAR,62,121,184,305,27
2015_10_CAR_TEN,TEN,46,64,178,242,10
2015_10_CHI_STL,CHI,61,155,244,399,37
2015_10_CLE_PIT,CLE,65,15,327,342,9
2015_10_CLE_PIT,PIT,57,62,399,461,30
2015_10_DAL_TB,DAL,52,42,174,216,6
2015_10_DAL_TB,TB,66,85,246,331,10
2015_10_DET_GB,DET,64,45,242,287,18
2015_10_DET_GB,GB,80,48,325,373,16
2015_10_HOU_CIN,CIN,62,74,182,256,6
2015_10_HOU_CIN,HOU,59,84,174,258,10
2015_10_JAX_BAL,BAL,67,89,308,397,20
2015_10_JAX_BAL,JAX,70,90,168,258,22
2015_10_KC_DEN,DEN,65,69,152,221,13
2015_10_KC_DEN,KC,63,108,197,305,29
2015_10_MIA_PHI,MIA,64,101,190,291,20
2015_10_MIA_PHI,PHI,87,83,353,436,19
2015_10_MIN_OAK,MIN,59,263,122,385,30
2015_10_NE_NYG,NE,66,78,329,407,27
2015_10_NE_NYG,NYG,70,80,342,422,26
2015_10_NO_WAS,NO,55,158,192,350,14
2015_10_NO_WAS,WAS,59,209,301,510,47
2015_11_BUF_NE,BUF,67,95,225,320,13
2015_11_BUF_NE,NE,62,85,271,356,20
2015_11_CIN_ARI,ARI,56,83,301,384,34
2015_11_CIN_ARI,CIN,71,99,278,377,31
2015_11_DAL_MIA,DAL,67,167,220,387,24
2015_11_DAL_MIA,MIA,41,70,140,210,14
2015_11_DEN_CHI,CHI,59,86,261,347,15
2015_11_DEN_CHI,DEN,67,171,219,390,17
2015_11_GB_MIN,GB,68,126,196,322,30
2015_11_GB_MIN,MIN,62,94,248,342,13
2015_11_IND_ATL,ATL,71,100,275,375,21
2015_11_IND_ATL,IND,61,74,202,276,24
2015_11_KC_SD,KC,59,153,232,385,33
2015_11_NYJ_HOU,HOU,70,128,241,369,24
2015_11_NYJ_HOU,NYJ,62,71,197,268,17
2015_11_OAK_DET,DET,68,111,266,377,18
2015_11_SF_SEA,SEA,71,259,253,512,29
2015_11_SF_SEA,SF,52,59,247,306,13
2015_11_STL_BAL,BAL,72,96,292,388,16
2015_11_TB_PHI,PHI,72,136,247,383,17
2015_11_TB_PHI,TB,69,286,238,524,45
2015_11_TEN_JAX,JAX,58,90,218,308,19
2015_11_TEN_JAX,TEN,63,104,212,316,13
2015_11_WAS_CAR,CAR,75,142,226,368,44
2015_11_WAS_CAR,WAS,47,14,172,186,16
2015_12_ARI_SF,ARI,68,72,267,339,19
2015_12_ARI_SF,SF,55,67,301,368,13
2015_12_BAL_CLE,BAL,57,104,232,336,33
